=== Transaction Addresses Log (20260513T074536Z) ===
phase | tx_hash | version | firmware_hash
------|---------|---------|---------------
iter1_a_register | 7c612ce0ee37b17cfe031c4456b4aa482f35de1972282bf67f7b935e467b79ba | 4.0.0 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter1_c_register_bumped | 55824baabf671793175a18bcdf88c65e07dea2d8262368772507d48951e3580f | 4.0.1 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter1_e_revoke | 46b217389fe1d61f7ff185af1065a91397fe926dede13596869568d33e026ab7 | 4.0.1 | 
iter2_a_register | 66c6769d3e633eabeea1ba4203e7301da2238260835f15626b9b9260a70b65c3 | 4.0.1 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter2_c_register_bumped | e22558d2c9f16b76d19ff26528a6bfc11e722d1e4517d4b4dc998b39ca754d4d | 4.0.2 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter2_e_revoke | ec8091b40156eb1740b2fa5f4a99d0bd6c5b0db56ab66c3c43c9a71cedadf65b | 4.0.2 | 
iter3_a_register | 0a86711c5913b23f9f0800e5645b3a3982150c381bf21646008b8bfc32c8deb4 | 4.0.2 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter3_c_register_bumped | 393129a8b4615e9d96e9418c1e4d7c6ed3cf23b07356b5fca17c8a5cd4c76131 | 4.0.3 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter3_e_revoke | e8379e9d280056ed2663fafe9a5e9d20567f2c44fdc2808640fb8f3cd2693b4b | 4.0.3 | 
iter4_a_register | 5bfcd118339b5a72f6e94288c028bfa05608a1d256804bf25b70090705ef307d | 4.0.3 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter4_c_register_bumped | 2c127b48fdb3b63af5b1cb1f9e0f34d7cb2a4ca3abd00a512e61ff6e55995035 | 4.0.4 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter4_e_revoke | 604d5bf0c972ad6cc7a5478bf2585ef27e83155adecbefea19a462228594d0e1 | 4.0.4 | 
iter5_a_register | 2977c0ff4dbbfb3b39c174908a6e75e6de3e2d3740af65623ac5e89e60dd4e88 | 4.0.4 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter5_c_register_bumped | 7a06a4b66715ec6e3af029a0e224b2d35f555b7f561758fc733316054906a395 | 4.0.5 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter5_e_revoke | 5d014b8a262259ac6af5df4a853b08c28a0c047a95a2f8024029d99e46252935 | 4.0.5 | 
iter6_a_register | 1f3fcc3ca757be22936456eb5babc393161408dfdcfcf934144dcb278ed1a736 | 4.0.5 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter6_c_register_bumped | a6c1ecd245c66c9e1c82128eb1d4f93dde3ce7e652cbd4ceb71d158c8ed40f75 | 4.0.6 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter6_e_revoke | 7ba29ff4184aa0706bad8f4e886bf5e3c6534608040bc963a5ef030423ced290 | 4.0.6 | 
iter7_a_register | a9ac315aa98c5560ac0a56cd30a2ac1b57b76211b5e07ba8f18192de2bf3ba27 | 4.0.6 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter7_c_register_bumped | 9fb3c3789888c130ab7acfefb667b40a54563cef37d33ed0772cfbe0fee44fe8 | 4.0.7 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter7_e_revoke | 0e1a3372f969605c1594c52e7e0d8b673c9140735a06fcd43646f9876472cdeb | 4.0.7 | 
iter8_a_register | 12c491bd6815cea785dedb28e70a546e0c157f783e10e7afa866df36a986c02e | 4.0.7 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter8_c_register_bumped | b39f19370ea206fc7e4150004c37ecd580ec4ae55e25128fdf90af3affc78787 | 4.0.8 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter8_e_revoke | fe9d7cdf7aa2517ee4ae18fa02a899aec4daca9f1fc2b6a30eecc0e435d0cf55 | 4.0.8 | 
iter9_a_register | 5e9d166e943cba9418bf032c9e4def2dd927b4d5d36f895fb38cfb922e2c18cb | 4.0.8 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter9_c_register_bumped | 230360125808f972b279469b556f1c1d55c5938086bb28bd13cd5f3654a1d490 | 4.0.9 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter9_e_revoke | 2fd7e607f44731878507a033630680cb8785d32ae8f5743ec552a7b881354450 | 4.0.9 | 
iter10_a_register | 9533717b61822aaa3f73d885b41af16f8a1ff03697cdfb6376de4f6fc1f2d60e | 4.0.9 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter10_c_register_bumped | c2f2be1114e4bc6cf58f67d14962299a747b8abc26f11bef1fe86caec6274d2d | 4.0.10 | 41c9df2735bade783502dcce895d7f6e26c119329f3485a87daa4d7587265752
iter10_e_revoke | 90fff9f58e85e2515a2fe05e4a6f50353cc4512f9c625e9a1da77dc6e0d2faca | 4.0.10 | 
